url,page_content,about,contact,error
http://topnotchroofing.com.au,n/a,n/a,n/a,"HTTPConnectionPool(host='topnotchroofing.com.au', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff300f2d160>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')), HTTPConnectionPool(host='topnotchroofing.com.au', port=80): Max retries exceeded with url: /about (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff300f2d8b0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')), HTTPConnectionPool(host='topnotchroofing.com.au', port=80): Max retries exceeded with url: /contact (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff300f2d9d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))"
https://www.cryoprep.com/,n/a,n/a,n/a,"HTTPSConnectionPool(host='www.cryoprep.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff300f2d9d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')), HTTPSConnectionPool(host='www.cryoprep.com', port=443): Max retries exceeded with url: /about (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff300f2d9d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')), HTTPSConnectionPool(host='www.cryoprep.com', port=443): Max retries exceeded with url: /contact (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff300f2d9d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))"
https://www.vitachiropractic.com.au/,"Vita Chiropractic - Chiropractor Services Chiro Newstead
Home
Book Online Now
Services
Chiropractic
Remedial Massage
Myofascial Cupping
Pregnancy Massage
Pricing
Blog
Gift Cards
Privacy policy
Contact
Vita Chiropractic & Massage in Newstead
Welcome to
Vita Chiropractic & Massage
.
Our clinic offers chiropractic and therapeutic, deep tissue massage in the Fortitude Valley / New Farm / Newstead area, conveniently located at 68 Commercial Rd (corner of Masters St and Commercial Rd), Newstead (less than 200 meters from Gasworx).
We specialise in treating pain and offer a personalised service for every client.  If you need help with treatment of a specific injury, want to improve your posture, or need help repairing, stretching and energising your body while training, make an appointment and start feeling better today!
BOOK ONLINE NOW
Treatments available
+ Health rebates available﻿
+ ﻿Chiropractic﻿
+ Remedial Ma﻿ssage﻿﻿﻿
+ Deep Tissue Massage
+
﻿﻿Pre-natal / Pregnancy Massage﻿﻿
+
Trigger Point Therapy
+
﻿Myofascial Cupping﻿
+
prices
start f﻿rom $70
Trading hours
By appointment.  Closing time indicates last appointment end time.
Monday           1pm - 6:30pm
Tuesday           CLOSED
Wednesday     8:30am – 6:30pm
Thursday         8:30am - 6:30pm
Friday               CLOSED
Saturday          CLOSED
BOOK ONLINE NOW
What is chiropractic?
Chiropractic is a healthcare discipline that focuses on the diagnosis and treatment of mechanical disorders of the musculoskeletal system, particularly the spine. Chiropractors primarily use their hands to perform manual adjustments and manipulations to the spine or other parts of the body. The goal of chiropractic care is to alleviate pain, improve function, and promote the body's natural ability to heal itself without the use of medication or surgery.
Chiropractors believe that proper alignment of the body's musculoskeletal structure, particularly the spine, allows the body to heal itself. They use various techniques, including spinal adjustments, manipulation, and other manual therapies to address issues related to the body's alignment, joint mobility, and overall musculoskeletal function.
Chiropractic services are commonly sought for conditions such as back pain, neck pain, headaches, and musculoskeletal issues. Chiropractors may also provide advice on exercise, ergonomics, and lifestyle changes to complement their treatments.
Benefits of chiropractic care
Chiropractors have an in-depth understanding of the human body, the central nervous system and all
of
its functions.
By focusing on your entire body, including all your muscles, joints
, nerves
and the musculoskeletal system
,
chiropractor services are able to treat a number of different conditions.
Below are some of the
benefits
you’ll
receive
from treatment at Vita Chiropractic
:
+ Decreased
pain in one or two sessions
+ Headache relief
+ Increased range of motion
+ Relie
f of
chronic pain
+ Focus on the root cause of your pain
BOOK ONLINE NOW
Issues we work with
Chiropractic treatments can be used to manage a wide range of conditions such as:
+ Headaches & migraines
+ Lower back pain
+ Sciatica
+ Neck & shoulder pain
+ Postural issues
+ Tendonitis pain
+ Tennis elbow
& Golfer's elbow
+ Muscular injuries
+ Sporting injuries
+ Joint pain
+TMJ adjustment
+ Surgery prevention
Why choose us?
At
Vita
Chiropractic, our
main focus
is you.
We treat a wide range of symptoms in people of all ages, from children to the elderly, providing you with the most effective chiropractic treatment to relieve your pain.
We
will use
our
knowledge and experience to ensure you understand your condition and to support you through the treatment process
.
Our aim is to
help manage your transition to healing and living your best life.
+ Convenient
location in Newstead
+ Treatments tailored for your unique needs
+ Holistic treatment for your pain
Areas we serve:
Located in Newstead, an inner northern river suburb of Brisbane, we are a few minutes away from the following suburbs:
+
New Farm
+
Fortitude Valley
+
Spring Hill
+
Bowen Hill
+
Herston (Royal Brisbane and Women's Hospital)
+
Albion
+
Windsor
+ Hamilton
+ Paddington
BOOK ONLINE NOW
Special offer
Buy 10 massage treatments and get one free.
* Offers are transferable
Gift vouchers
Massage gift vouchers available at the clinic or we can post them to you or someone special.
BOOK ONLINE NOW
Vita Chiropractic & Massage
68 Commercial Rd    Newstead     QLD     4006
Phone / Text 0408 828 838
Home
Book Online Now
Services
Chiropractic
Remedial Massage
Myofascial Cupping
Pregnancy Massage
Pricing
Blog
Gift Cards
Privacy policy
Contact",n/a,"Service Chiro Newstead Sacro Occipital Technic - Vita Chiropractic
Home
Book Online Now
Services
Chiropractic
Remedial Massage
Myofascial Cupping
Pregnancy Massage
Pricing
Blog
Gift Cards
Privacy policy
Contact
Address
68 Commercial Rd (corner of Masters St and Commercial Rd), Newstead, Brisbane (less than 200 meters from Gasworx)
Phone
0408 828 838
Email
[email protected]
Please book online or call / text Sue on
0408 828 838
with any enquiries.
Contact / Booking form
*
Indicates required field
Name
*
First
Last
Email
*
Mobile Phone
*
Comment
*
Submit
Vita Chiropractic & Massage
68 Commercial Rd    Newstead     QLD     4006
Phone / Text 0408 828 838
Home
Book Online Now
Services
Chiropractic
Remedial Massage
Myofascial Cupping
Pregnancy Massage
Pricing
Blog
Gift Cards
Privacy policy
Contact",404 Client Error: Not Found for url: https://www.vitachiropractic.com.au/about
https://will-build-builder-carpenter.business.site/,n/a,n/a,n/a,"404 Client Error: Not Found for url: https://will-build-builder-carpenter.business.site/, 404 Client Error: Not Found for url: https://will-build-builder-carpenter.business.site/about, 404 Client Error: Not Found for url: https://will-build-builder-carpenter.business.site/contact"
https://e1poolcertifier.com/,"Pool Certifier Sydney | Pool Inspections and Certification | E1 Pool Certifier
0414 446 780
Book Online
Certify Your Pool
Pool Certification Pricing
Online Booking
FAQs
Contact
Pool Safety Inspection
E1 Pool Certifier
Book Now
Pool Certifier Sydney
Offering pool and spa certifications; servicing Sutherland Shire and Sydney Metro areas
Call now for a free quote:
0414 446 780
Get your Pool Certified – E1 Pool Certifier is a NSW accredited pool inspector
We inspect swimming pool and spa barriers for safety and compliance with the applicable Acts, Regulations and Australian Standards.
Professional Pool Certificates and Safety are our priority. We provide a friendly and helpful service to guide you thru the process, complete with reports of how to be compliant and safe and within the requirements of NSW laws.
New legislation requires your Pool or Spa must be certified and registered on the NSW Pool Registry by April 2016, If you wish to Sell or Lease your property. Ensure your pool has a Compliance Certificate and is legally registered.If its not, it can delay your sale or tenant occupation of your property.
Got questions?
At E1 Pool Certifier, we have got the answers, view our
Frequently Asked Questions
,
or call
0414 446 780
.
Fast Pool Safety Certification
Book Online Now
Pool Inspection checklist
Pool Checklist
Our Services
Online Pool Certifier
Booking form
Complete our certification form for our online Pool Certifier Booking.
Read More
Pool & Spa
We Certify
Our services are suited for agents and pool or spa owners.
Read More
About this
Certification
NSW Swimming Pool Regulations and Laws have changed. Swimming pool and spa owners are required to register their swimming pools at
swimmingpoolregister.nsw. gov.au.
Read More
Compliance
Certification Pricing
We provide Pool Owners advice about swimming pool and spas and can then advise on issue remediation to legal standards.
Read More
Get in Touch
Call
0414 446 780
or
complete the form below
and we will get back to you as soon as possible.
Name
*
Email
*
Phone
*
How can we help?
*
*
required fields
About Us
Lee Steege is a certified Pool & Spa assessor and has got 25 years experience in the building industry. He lives and works in Sydney and has an excellent working knowledge of building requirements of local councils and regulatory authorities.
Contact
0414 446 780
info@e1poolcertifier.com
27/58 Box Rd
Taren Point 2229 NSW
Book Online
Important Links
Read legislation here
Requirements for fully compliant pools and spas
Pool Safety Booklet
Download Royal Life Saving NSW Leasing Fact Sheet
Download Royal Life Saving NSW Selling Fact Sheet
© 2024 E1 Pool Certifier | ABN 42 087 929 358 | All Prices in AUD |
Articles
Terms & Conditions",n/a,"Contact, E1 Pool Certifier, Sutherland shire | Pool Inspections and Certification | E1 Pool Certifier
0414 446 780
Book Online
Certify Your Pool
Pool Certification Pricing
Online Booking
FAQs
Contact
Contact Us
Home
Contact Us
Contact Us
Phone:
0414 446 780
Email:
info@e1poolcertifier.com
Address:
27/58 Box Rd
Taren Point 2229 NSW
Make an Enquiry
Please fill out the form below and we will get back to you as soon as possible.
Name
*
Email
*
Phone
*
How can we help?
*
*
required fields
About Us
Lee Steege is a certified Pool & Spa assessor and has got 25 years experience in the building industry. He lives and works in Sydney and has an excellent working knowledge of building requirements of local councils and regulatory authorities.
Contact
0414 446 780
info@e1poolcertifier.com
27/58 Box Rd
Taren Point 2229 NSW
Book Online
Important Links
Read legislation here
Requirements for fully compliant pools and spas
Pool Safety Booklet
Download Royal Life Saving NSW Leasing Fact Sheet
Download Royal Life Saving NSW Selling Fact Sheet
© 2024 E1 Pool Certifier | ABN 42 087 929 358 | All Prices in AUD |
Articles
Terms & Conditions",404 Client Error: Not Found for url: https://e1poolcertifier.com/about
https://charmaineiversen.com.au/,"Charmaine Iversen Kinesiology & Natural Therapies – Helping others to improve their health and well-being
About
Qualifications
Services
Testimonials
Contact
Call Now 0407 779 303
Charmaine Iversen
Kinesiology & Natural Therapies
Charmaine is a Kinesiologist and Natural Therapist,
helping others to improve their health and well-being since 2005.
About
Services
About
Charmaine is a Kinesiologist and Natural Therapist, helping others to improve their health and well-being since 2005. Over the years, she has mastered many aspects of gentle yet powerful natural treatments, and her methods combine Kinesiology, Spinal Flow, Forensic Healing, Body Talk, Access Consciousness, Theta and Pranic healing, ITA (Integrated Therapeutic Alignment) Reiki and many more. Charmaine is dedicated to helping others become the best version of themselves, and leading happy and healthy lives. Our subconscious thoughts and feelings can have a huge effect on our lives and sometimes prevent us from achieving wellbeing. These energy blocks and imbalances in our bodies can manifest as emotional issues and even physical symptoms, which can hold us back in everyday life.
By working with the body-mind-soul connection, Charmaine can help you address these subconscious issues, and help you create more positive and beneficial thought patterns. Once you’ve cleared these energy blocks and negative thought patterns, your body can then activate the healing process. Charmaine will work closely with you to find the issues, and arrive at the optimum treatment methods for you as an individual. Based in Baldivis, Western Australia, Charmaine has helped numerous people in Perth, WA and beyond, so whether you’re in Rockingham, Mandurah or further afield, you could benefit from Charmaine’s uniquely successful alternative therapy techniques. Some sessions can even be conducted over Skype.
If you’ve tried everything else to no avail, maybe it’s time to try out an Alternative Natural Therapist! Get in touch today - you owe it to yourself.
Contact Charmaine
Qualifications
Diploma of Kinesiology
Diploma – Forensic Healing
Spinal Flow – Certified Practitioner
Certificate in Anatomy & Physiology of the Brain
Certificate – Applied Physiology
Certificate – Advanced Acupressure
Certificates in Brain Integration
Access Consciousness Certified Practitioner
Certificate – Body Talk Therapy
ITA Certified Practitioner
Certificate – Advanced Theta Healing
Certificate – Advanced Pranic Healing
Reiki Master
Workshop Facilitator
Services
Charmaine is a Natural Therapist and Kinesiologist who offers a wide range of services that can improve both your mental and physical health and well-being. Here are some of the main alternative therapy techniques that could help you:
Kinesiology
Spinal Flow
Forensic Healing
BodyTalk Therapy
Access Consciousness
Kinesiology
is a natural and non-invasive type of therapy, that makes use of gentle muscle monitoring techniques to identify certain blocks and imbalances in the body.  Kinesiology strives to treat the body holistically, recognising the fact that all of the systems of the body are linked.
It uses Western techniques, combined with ancient Eastern wisdom, to provide a gentle yet effective solution.
The premise of kinesiology is that the body has innate healing energy (or ‘Qi’, as it’s referred to in China). It is always doing its best to care for itself, but sometimes you may need to give it a helping hand and put your body into a better position. Flows of energy relate to all the muscles, organs and other tissues of the body that help make you a living being. Energy blocks, though, can manifest as symptoms such as:
Stress
Anxiety
Depression
Fatigue
Physical pain
Emotional problems
Neurological problems
Hormone imbalances
Nutritional problems
Loss of brain integration
Kinesiology doesn’t work by simply treating these symptoms though - you have to look at the body as a whole before you can treat the issue. By using muscle monitoring/muscle testing techniques, kinesiology practitioners can help reveal imbalances, identify the cause, and then help to resolve it. Whether physical, emotional or even spiritual, there could be various reasons for your current condition. A trained Kinesiologist such as Charmaine can access this information, and help you facilitate the natural healing process of your body. With her innovative methods and friendly persona, you’re likely to see significant results when you undergo this non-invasive form of natural therapy.
Spinal Flow
works with the spine and nervous system to increase the bodies life force energy so
that it can heal.
The body has its own wisdom and intelligence, but what happens over time is our bodies experience
chemical, physical and emotional stressors which get stored in the body and create blockages in our
systems and this affects our bodies healing abilities. These blockages can be found in the 7
Gateways of the spine and show up as pain, disease, illness and other physical symptoms.
Spinal Flow uses Access Points found in the sacrum and cranial areas. These access points are
actually areas of ease and by contacting them and expanding them, Charmaine is able to guide you
into bringing in more breath, sensing, movement and flow into the body creating a healing wave of
energy up through the spine and nervous system to the brain. This allows the nervous system to
send different signals allowing your bodies intelligence to find the blocks and release them.
Forensic Healing
involves collecting evidence about a condition much like a detective at the scene
of a crime. Forensic Healing will investigate the who, what, where and why clues in your energy field
as to the reasons you have your condition and release them using the application of different healing
pathways.
Your body stores all of your past experiences including thoughts, feelings and emotions which all
impact your life in some way. Any disfunction on a physical, emotional, energetic or spiritual level
creating issues such as pain, stress, anxiety, tiredness, fear, grief, hurt, low self-worth, relationship
issues, health issues and energy blocks can be investigated using Forensic Healing.
Using Biofeedback methods (similar to Kinesiology), Forensic Healing identifies the most impactful
times/stresses that created the blocks in the clients’ energy field, along with any negative life
patterns, emotions, belief systems etc. that have been stored in the cellular memory or DNA. When
these energetic blocks are released through applying the appropriate healing pathway, the situation
or condition changes and allows the body to heal itself.
BodyTalk Therapy
is another method that seeks to address and treat the ‘whole person’, rather than just the individual symptom. By looking at the bigger picture (overall emotional, physical and environmental factors) Charmaine can start to find the underlying cause of your issues by focusing on the bigger picture.
BodyTalk is therefore a completely custom and personalised method of treatment, which will be different for every individual. By allowing the body’s energy systems to be re-synchronised, the communication between all systems can be re-established; allowing them to operate as nature intended once again.
Ultimately, your body knows how to treat itself, but sometimes it needs a little help along the way, and Charmaine is an expert in finding the cause and solution for your ailments. With conversation and methods including tapping gently on your head, sternum and navel, Charmaine can tap into your body’s innate wisdom and help bring it back to its original balanced state.
Access Consciousness
is a powerful method of natural therapy, that can help you properly take control of your life again and change things you’ve never been able to before. It’s comprised of a simple set of tools, techniques and philosophies that empower you to create the changes in your life that you desire.
Charmaine is a natural therapist who is well-versed in various aspects of Access Consciousness, and is the perfect person to help you work through your issues in a productive way, and get on the road to healing. In your relaxed and comfortable sessions, you’ll work with her on a number of techniques for improved perspective on life, and the removal of these mental and energetic barriers holding you back.
Part of Access Consciousness is something called ‘BARS’. This refers to a set of 32 points on the head which, when touched gently, allow the flow of energy through these points. This then releases a cascade of thoughts, feelings, emotions, limitations, behavioural patterns, judgements, belief systems and more that have been stored and built-up throughout your lifetime. Having your ‘BARS’ run allows the clearing of limitations that you may have about different areas of your life, and helps you to stop living through past experiences.
Charmaine can also offer any combination of other modalities that are a priority for your body. If you’d like to learn more about these gentle and effective natural alternative therapy techniques, then get in touch today on
0407 779 303
or email
mykinesi@bigpond.com.au
Testimonials
I cannot recommend Charmaine enough. I lost my husband a year ago after battling a very serious illness
for two years and have my own health issues. I have tried various mainstream and natural healing
modalities to assist my healing process, which has been more difficult due to a variety of factors. A friend
recommended Charmaine to me while visiting family in Perth. After two sessions with Charmaine, I finally
feel like ‘myself’, with immediate changes physically and emotionally. I am finally empowered to live life,
joyful and determined for my future. Charmaine’s skills in a variety of modalities and her own skills are a
gift. We are unique. We need unique healing for our individuality. It has been a blessing for me to find her.
Sharon - Tasmania
I highly recommend Charmaine and have recommended her to many friends. I have been seeing her for 2
years now and her work has literally saved my life. My first session I walked in with suicidal thoughts and
an hour and a half later they were gone and have never returned. Whenever I need a ""tune-up"" I head
straight to Charmaine and I am never disappointed with the results.
Christine - Darlington
Charmaine is a gifted and brilliant practitioner on both physical and metaphysical levels. Her commitment and ability to get a result has been incredible. I would recommend her to anyone seeking to grow, shift and change to a better human being. One of the best investments in self that I have ever made.

Thank you Charmaine for your commitment and love
Blessings - Mark
For at least the previous 12 months before I saw you last week I’ve had the most horrendous back and neck pain – which was only being managed by ridiculously regular Chiro and massage appointments Since I saw you I’ve had barely any back and neck pains. I thought I’d let you know as it’s a massive change for me and my life and I’m very thankful for what you have done for me.
Jemma – Secret Harbour
I suffered tummy problems for at least 7 years before seeing Charmaine. The pain I lived with daily is now in the past.. She also treated my ongoing battle with daily headaches and monthly migraines. I lived with this pain for so long I never thought it possible that I could put it behind me and live in peace and experience such balance and happiness within myself.
Amber – Warnbro
I can’t find enough words to say thank you, it’s a blessing that someone actually gave my wife some consideration and the fact that you cared about her is very touching…Thanks once again Charmaine – you really have touched our hearts. Keep up the good work!
Mark – Port Kennedy
Charmaine is a beautiful soul and unbelievably gifted energy healer who uses a whole range of modalities. I highly recommend anyone who is needing a lift, feeling out of sorts, stagnant, stuck, depressed, suffering with trauma, etc. to get in touch with her. She has helped me so much over the years… I cannot speak highly enough of her.
Kylie – Rockingham
My sessions with you have brought about major breakthroughs that I was hoping for. This new found       state of being for me has been miraculous as in a short space of 3 months I feel safe and secure in my work environment, I have a new relationship with a wonderful man, and am making and manifesting exciting plans for the future. I now know and can say with absolute conviction that if I really want to change what I don’t like about my life or if I want to manifest my goals, I will be returning to you for a tune-up!!  IT WORKS!!
Lisa - Mandurah
Contact details
15 Huxtable Terrace, Baldivis, 6171, WA
Tel:
0407 779 303
Email:
mykinesi@bigpond.com
Enquire Now
Opening hours
Monday - Friday
9am - 7pm
© 2018 Charmaine Iversen. All Rights Reserved.",n/a,n/a,"404 Client Error: Not Found for url: https://charmaineiversen.com.au/about, 404 Client Error: Not Found for url: https://charmaineiversen.com.au/contact"
https://wordofmouthglobal.com/,"Word of Mouth
Toggle navigation
Home
About Lana
Why us
Who can benefit
Programs
Executive Assessment and Coaching Program
Individual Assessment and Coaching Program
Group Programs
FAQ
Client profiles, feedback and results
Blog
Contact us
You can transform the way you communicate and the impression you make on others.
The quality of your communication has a direct bearing on your career path, promotions, pay rises and all of your relationships.
Would you like to
speak with clarity, fluency and confidence
whenever you interact and engage with others?
Would you like to
transform your accent or voice
when you speak or sing?
Would you like to
enhance your personal presence
and further your career or win that new job?
Lana McCarthy has empowered thousands of adults over the past 28 years, transforming their lives through effective and powerful communication.
Reach your full potential and begin your journey to effect real and lasting change in your life.
Contact us now to start achieving your goals.
If you would like to find out more, have a look at some of our client profiles, feedback and results.
Jason
Wanted help with his English pronunciation and accent.
Natalie
Wanted help with her speaking and singing voices.
Zakh
Wanted help with his vocal delivery and presence.
Julie
Wanted help with her stutter.
© 2024 Word of Mouth",n/a,"Contact us | Word of Mouth
Toggle navigation
Home
About Lana
Why us
Who can benefit
Programs
Executive Assessment and Coaching Program
Individual Assessment and Coaching Program
Group Programs
FAQ
Client profiles, feedback and results
Blog
Contact us
Office Location
St James Trust Building
Suite 407, Level 4
160 Castlereagh Street
Sydney NSW 2000
Telephone
(02) 9267 3790
Mobile
0411 454 784
Contact Us
First Name*
Last Name*
Please leave this field empty.
Phone
Your Email*
Your Message
Δ
Need Directions
© 2024 Word of Mouth",404 Client Error: Not Found for url: https://wordofmouthglobal.com/about
https://www.industrialsteel.com.au/,"INDUSTRIAL STEEL FABRICATORS | SCREW PILES | WELDING | MELBOURNE
top of page
INDUSTRIAL STEEL FABRICATORS
ABOUT .
SCREW PILE MANUFACTURING .
CONTACT .
More
Use tab to navigate through the menu items.
Industrial Steel Fabricators (ISF) Pty Ltd is a general steel fabricator.  Although we specialise in screw pile technology for the commercial and domestic construction industries, we will not shy away from the everyday person requiring general steel fabrication and welding assistance or advice.
​
We pride ourselves on being an Australian owned and operated manufacturing company who use locally sourced product.  Based in Melbourne, we service the east coast of Australia with our facility located in Williamstown North, Victoria.
Australian Owned + Operated
ABOUT US
TESTIMONIALS
MELBOURNE
LOCATION
FREE
CONSULTATION
PROFESSIONALLY
QUALIFIED
© 2017 Industrial Steel Fabricators.
Design -Storiology. Photography - Rachel Jones
CALL US
EMAIL US
HOURS
0410 748 197
ESTIMATING@INDUSTRIALSTEEL.COM.AU
M-F: 8AM - 4PM
bottom of page","INDUSTRIAL STEEL FABRICATORS | SCREW PILES | WELDING | MELBOURNE
top of page
INDUSTRIAL STEEL FABRICATORS
ABOUT .
SCREW PILE MANUFACTURING .
CONTACT .
More
Use tab to navigate through the menu items.
Industrial Steel Fabricators (ISF) Pty Ltd is a general steel fabricator.  Although we specialise in screw pile technology for the commercial and domestic construction industries, we will not shy away from the everyday person requiring general steel fabrication and welding assistance or advice.
​
We pride ourselves on being an Australian owned and operated manufacturing company who use locally sourced product.  Based in Melbourne, we service the east coast of Australia with our facility located in Williamstown North, Victoria.
Australian Owned + Operated
ABOUT US
TESTIMONIALS
MELBOURNE
LOCATION
FREE
CONSULTATION
PROFESSIONALLY
QUALIFIED
© 2017 Industrial Steel Fabricators.
Design -Storiology. Photography - Rachel Jones
CALL US
EMAIL US
HOURS
0410 748 197
ESTIMATING@INDUSTRIALSTEEL.COM.AU
M-F: 8AM - 4PM
bottom of page",n/a,404 Client Error: Not Found for url: https://www.industrialsteel.com.au/contact
http://celebrantmissionbeach.com.au,"Maria Lago
Maria Lago
About
Services
Testimonials
Gallery
Contact
About
Services
Testimonials
Gallery
Contact
Maria Lago
Scroll
About Maria
Born in Tully, Far North Queensland, I have been a Celebrant here in the Tropical North since 2008 and a JP Qualified since 2000.
Being a local I have a good knowledge of Tully, Mission Beach and surrounding townships and cities along the coast from Cairns to Townsville and can share with you some great ceremony location options, if you wish.
Every couple is special and unique and all share their own love story. It’s always a pleasure to share the couple’s joy, along with the gathering of family and friends on their very special day.  Whether you choose a ceremony with moving formality or one of relaxed simplicity, I care to make it both a memorable and truly personal occasion every time.
""Maria, thank you so much for making
the day so perfect and special!""
Chih-Wen & Hsuan Chen
Read More
Services
I conduct the following ceremonies and cover areas Townsville to Cairns and those in between.
Weddings | Baby Namings | Renewal of Vows | Commitments
Full list of services + inclusions
Contact me
Intro
Maria
Testimonial
Services
Contact
0447 682146
marialagocelebrant@gmail.com
Hours
by
site stylist",n/a,"Contact — Maria Lago
Maria Lago
About
Services
Testimonials
Gallery
Contact
About
Services
Testimonials
Gallery
Contact
Maria Lago
Contact Maria
CIVIL CELEBRANT
Maria Lago CMC/JP
9 Clipper Court, Mission Beach, Qld 4852
0447 682146
marialagocelebrant@gmail.com
www.celebrantmissionbeach.com.au
Name
*
First Name
Last Name
Email Address
*
Telephone
*
Date of Ceremony
*
Ceremony Location
*
Additional Details
*
Thank you!
0447 682146
marialagocelebrant@gmail.com
Hours
by
site stylist",404 Client Error: Not Found for url: https://www.celebrantmissionbeach.com.au/about
https://figjam-painting-residential-commercial-painter-coffs.business.site/?m=true,n/a,n/a,n/a,"404 Client Error: Not Found for url: https://figjam-painting-residential-commercial-painter-coffs.business.site/?m=true, 404 Client Error: Not Found for url: https://figjam-painting-residential-commercial-painter-coffs.business.site/?m=true/about, 404 Client Error: Not Found for url: https://figjam-painting-residential-commercial-painter-coffs.business.site/?m=true/contact"
